               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094982,            0.058041,            0.032407,             0.94149,             0.13282,             0.14078,              0.0768,            0.065206,             0.06471,            0.017439,            0.070536,           0.0032738,           0.0032738
                   1,             0.06656,             0.05133,             0.01855,             0.91162,             0.14507,             0.13258,             0.06552,            0.067083,            0.048702,            0.013753,            0.040476,           0.0065477,           0.0065477
                   2,            0.059204,            0.047973,            0.015231,             0.24867,              0.3356,             0.23499,             0.13314,            0.045754,            0.046291,            0.011987,            0.010357,           0.0097615,           0.0097615
                   3,            0.047797,            0.044446,            0.013121,             0.20832,             0.60629,             0.27666,             0.16811,            0.035174,            0.040782,            0.010892,             0.00973,             0.00973,             0.00973
                   4,            0.041565,            0.041607,            0.011838,             0.22975,             0.74707,             0.30569,             0.21409,            0.027774,            0.038004,            0.010498,             0.00973,             0.00973,             0.00973
                   5,            0.037919,            0.039274,            0.011129,             0.25395,             0.64297,             0.35628,             0.24682,            0.027895,            0.036737,           0.0097359,             0.00964,             0.00964,             0.00964
                   6,            0.035424,            0.038201,            0.010596,             0.29193,             0.62567,             0.38381,             0.28295,            0.025828,            0.035324,           0.0092527,             0.00955,             0.00955,             0.00955
                   7,            0.033802,            0.037209,           0.0099624,             0.36803,             0.64441,             0.41012,              0.2882,             0.02918,            0.035632,           0.0088102,             0.00946,             0.00946,             0.00946
                   8,            0.032795,            0.036741,           0.0096265,             0.29844,             0.80475,             0.44067,             0.33357,            0.023102,            0.034673,           0.0087276,             0.00937,             0.00937,             0.00937
                   9,             0.03131,            0.036834,           0.0092629,             0.30312,             0.80153,             0.44691,             0.33121,            0.024368,            0.034699,           0.0081268,             0.00928,             0.00928,             0.00928
                  10,            0.030936,            0.035835,           0.0087695,             0.32976,             0.81023,             0.50216,             0.37166,            0.023198,            0.033316,           0.0077507,             0.00919,             0.00919,             0.00919
                  11,            0.030054,            0.035401,           0.0083483,             0.38346,             0.76923,             0.53552,             0.41544,            0.020637,            0.032757,           0.0075459,              0.0091,              0.0091,              0.0091
                  12,            0.029653,            0.034358,           0.0080736,             0.41211,             0.78436,             0.53645,             0.38436,            0.025799,            0.032459,           0.0070952,             0.00901,             0.00901,             0.00901
                  13,            0.029077,            0.034336,           0.0077491,             0.44096,             0.82479,             0.53768,             0.40199,            0.024158,            0.032167,           0.0067636,             0.00892,             0.00892,             0.00892
                  14,            0.027925,            0.034383,           0.0074144,             0.44353,             0.84646,             0.53947,             0.42459,            0.019944,            0.031644,           0.0065811,             0.00883,             0.00883,             0.00883
                  15,            0.027628,            0.033943,           0.0072032,             0.45604,             0.83867,             0.56546,             0.44156,            0.019615,            0.031411,           0.0062524,             0.00874,             0.00874,             0.00874
                  16,             0.02766,            0.033994,           0.0069341,             0.46548,             0.85938,             0.57943,             0.45531,            0.020765,            0.031471,           0.0061841,             0.00865,             0.00865,             0.00865
                  17,            0.027256,            0.033509,           0.0068176,             0.47339,              0.8434,             0.60289,             0.45893,            0.023975,            0.031761,           0.0061888,             0.00856,             0.00856,             0.00856
                  18,            0.026453,            0.032683,           0.0064616,              0.4953,             0.83123,             0.61738,             0.49149,            0.020067,            0.030655,           0.0058746,             0.00847,             0.00847,             0.00847
                  19,            0.026131,            0.032982,           0.0062539,             0.52506,             0.87603,             0.63067,             0.49007,            0.019123,             0.02937,           0.0055203,             0.00838,             0.00838,             0.00838
                  20,             0.02592,            0.032793,           0.0061061,             0.52592,             0.91023,             0.63336,              0.4992,            0.019528,            0.030802,           0.0053726,             0.00829,             0.00829,             0.00829
                  21,            0.026016,            0.032961,           0.0059822,             0.53045,             0.91688,             0.63354,             0.50779,            0.018003,            0.029203,           0.0053957,              0.0082,              0.0082,              0.0082
                  22,            0.025403,            0.033026,           0.0058147,             0.53723,             0.93252,             0.64164,             0.49098,            0.020059,            0.030779,           0.0051573,             0.00811,             0.00811,             0.00811
                  23,             0.02495,            0.032442,           0.0055745,              0.5326,             0.93524,             0.66023,             0.49745,            0.018617,            0.030129,           0.0050244,             0.00802,             0.00802,             0.00802
                  24,            0.024835,             0.03195,           0.0054446,             0.53333,             0.93865,             0.67487,             0.53195,            0.019306,            0.031375,           0.0049363,             0.00793,             0.00793,             0.00793
                  25,            0.024489,            0.031764,           0.0053077,             0.53879,             0.93577,             0.68708,             0.54647,            0.019378,            0.028339,           0.0047491,             0.00784,             0.00784,             0.00784
                  26,            0.024643,            0.032305,           0.0052049,              0.5372,             0.94039,             0.69342,             0.55483,            0.016662,            0.029069,           0.0047251,             0.00775,             0.00775,             0.00775
                  27,            0.024167,             0.03195,           0.0050156,             0.54796,             0.93483,             0.69929,             0.56588,            0.016513,            0.028605,           0.0046241,             0.00766,             0.00766,             0.00766
                  28,            0.023508,            0.031264,           0.0049018,             0.55241,             0.92675,             0.71711,              0.5778,            0.017106,            0.028067,           0.0044563,             0.00757,             0.00757,             0.00757
                  29,            0.023816,            0.031208,           0.0048256,             0.55313,             0.92262,             0.72242,             0.56915,            0.018389,            0.029249,           0.0044278,             0.00748,             0.00748,             0.00748
                  30,            0.023495,            0.030838,            0.004686,             0.56832,             0.90051,              0.7356,             0.59334,            0.015399,            0.027246,           0.0044497,             0.00739,             0.00739,             0.00739
                  31,            0.023324,            0.030818,           0.0046664,             0.59229,             0.92059,             0.73465,             0.59696,            0.017456,            0.028018,           0.0042589,              0.0073,              0.0073,              0.0073
                  32,            0.023125,            0.031061,           0.0045389,             0.59844,             0.91178,             0.73821,             0.59791,            0.016591,            0.028516,           0.0041604,             0.00721,             0.00721,             0.00721
                  33,            0.023098,             0.03098,           0.0044276,             0.61921,             0.89764,             0.75516,             0.62073,            0.016522,            0.028004,           0.0041501,             0.00712,             0.00712,             0.00712
                  34,            0.022727,            0.030527,            0.004374,             0.60505,             0.87299,             0.76572,              0.6254,            0.016721,             0.02851,           0.0039766,             0.00703,             0.00703,             0.00703
                  35,            0.022695,            0.030724,           0.0042471,             0.66976,             0.86282,             0.79392,             0.65151,            0.015255,            0.027909,           0.0038987,             0.00694,             0.00694,             0.00694
                  36,            0.022459,            0.030265,           0.0040809,             0.68516,              0.8483,             0.81677,             0.67077,             0.01612,            0.028258,           0.0037874,             0.00685,             0.00685,             0.00685
